token|nan|ts|endTs|punctuation|case|tags|wer_tags
lower|nan||||LC|[]|[]
volumes|nan||||LC|[]|[]
led|nan||||LC|[]|[]
to|nan||||LC|[]|[]
a|nan||||LC|[]|[]
decrease|nan||||LC|[]|[]
of|nan||||LC|[]|[]
16.9%|nan||||LC|['355:PERCENT']|['355']
in|nan||||LC|[]|[]
the|nan||||LC|[]|[]
revenues|nan||||LC|[]|[]
and|nan||||LC|[]|[]
33.5%|nan||||LC|['356:PERCENT']|['356']
on|nan||||LC|[]|[]
EBITDA|nan|||.|CA|['370:ABBREVIATION']|['370']
During|nan||||UC|[]|[]
this|nan||||LC|[]|['425']
quarter|nan|||,|LC|[]|['425']
we|nan||||LC|[]|[]
continued|nan||||LC|[]|[]
to|nan||||LC|[]|[]
work|nan||||LC|[]|[]
on|nan||||LC|[]|[]
obtaining|nan||||LC|[]|[]
further|nan||||LC|[]|[]
efficiencies|nan||||LC|[]|[]
on|nan||||LC|[]|[]
energetics|nan||||LC|[]|[]
on|nan||||LC|[]|[]
our|nan||||LC|[]|[]
local|nan||||LC|[]|[]
operations|nan|||.|LC|[]|[]
I|nan|||.|LC|[]|[]
Honduras|nan|||,|UC|[]|['426']
for|nan||||LC|[]|[]
instance|nan|||,|LC|[]|[]
we|nan||||LC|[]|[]
inaugurated|nan||||LC|[]|[]
a|nan||||LC|[]|[]
solid|nan||||LC|[]|[]
fuel|nan||||LC|[]|[]
storage|nan||||LC|[]|[]
in|nan||||LC|[]|[]
the|nan||||LC|[]|[]
North|nan||||UC|[]|['2029']
of|nan||||LC|[]|[]
the|nan||||LC|[]|[]
country|nan||||LC|[]|[]
that|nan||||LC|[]|[]
will|nan||||LC|[]|[]
allow|nan||||LC|[]|[]
us|nan||||LC|[]|[]
to|nan||||LC|[]|[]
receive|nan||||LC|[]|[]
bigger|nan||||LC|[]|[]
amounts|nan||||LC|[]|[]
of|nan||||LC|[]|[]
fuel|nan||||LC|[]|[]
and|nan||||LC|[]|[]
therefore|nan||||LC|[]|[]
improve|nan||||LC|[]|[]
the|nan||||LC|[]|[]
purchase|nan||||LC|[]|[]
price|nan|||.|LC|[]|[]
We|nan||||UC|[]|[]
also|nan||||LC|[]|[]
supplied|nan|||,|LC|[]|[]
during|nan||||LC|[]|[]
the|nan||||LC|[]|['427']
first|nan||||LC|[]|['427']
quarter|nan||||LC|[]|['427']
of|nan||||LC|[]|['427']
the|nan||||LC|[]|['427']
year|nan|||,|LC|[]|['427']
11.6%|nan||||LC|['357:PERCENT']|['357']
of|nan||||LC|[]|[]
the|nan||||LC|[]|[]
energy|nan||||LC|[]|[]
from|nan||||LC|[]|[]
our|nan||||LC|[]|[]
Piedras|nan||||UC|[]|['429']
Azules|nan||||UC|[]|['429']
plant|nan||||LC|[]|[]
with|nan||||LC|[]|[]
the|nan||||LC|[]|[]
solar|nan||||LC|[]|[]
farm|nan||||LC|[]|[]
operated|nan||||LC|[]|[]
by|nan||||LC|[]|[]
Cellcio|nan||||UC|[]|['2030']
with|nan||||LC|[]|[]
lower|nan||||LC|[]|[]
cost|nan||||LC|[]|[]
together|nan||||LC|[]|[]
with|nan||||LC|[]|[]
environmental|nan||||LC|[]|[]
benefits|nan|||.|LC|[]|[]
This|nan||||UC|[]|[]
initiative|nan||||LC|[]|[]
lowered|nan||||LC|[]|[]
the|nan||||LC|[]|[]
CO2|nan||||CA|['366:ALPHANUMERIC']|['366']
emissions|nan||||LC|[]|[]
from|nan||||LC|[]|[]
our|nan||||LC|[]|[]
energy|nan||||LC|[]|[]
supply|nan||||LC|[]|[]
in|nan||||LC|[]|[]
around|nan||||LC|[]|[]
1500|nan||||CA|['364:YEAR']|['364', '387', '430']
tones|nan||||LC|[]|[]
during|nan||||LC|[]|[]
the|nan||||LC|[]|['431']
first|nan||||LC|[]|['431']
quarter|nan||||LC|[]|['431']
of|nan||||LC|[]|['431']
2020|nan|||,|CA|['365:YEAR']|['365', '388', '431']
reinforcing|nan||||LC|[]|[]
our|nan||||LC|[]|[]
commitment|nan||||LC|[]|[]
towards|nan||||LC|[]|[]
sustainability|nan|||.|LC|[]|[]
We|nan||||UC|[]|[]
believe|nan||||LC|[]|[]
that|nan||||LC|[]|[]
the|nan||||LC|[]|[]
second|nan||||LC|[]|['432']
trimester|nan||||LC|[]|[]
of|nan||||LC|[]|[]
this|nan||||LC|[]|['433']
year|nan||||LC|[]|['433']
will|nan||||LC|[]|[]
continue|nan||||LC|[]|[]
to|nan||||LC|[]|[]
be|nan||||LC|[]|[]
challenging|nan||||LC|[]|[]
for|nan||||LC|[]|[]
the|nan||||LC|[]|[]
regional|nan||||LC|[]|[]
but|nan||||LC|[]|[]
maintain|nan||||LC|[]|[]
our|nan||||LC|[]|[]
cautious|nan||||LC|[]|[]
optimism|nan||||LC|[]|[]
on|nan||||LC|[]|[]
the|nan||||LC|[]|['434']
second|nan||||LC|[]|['434']
half|nan||||LC|[]|['434']
of|nan||||LC|[]|['434']
the|nan||||LC|[]|['434']
year|nan|||,|LC|[]|['434']
due|nan||||LC|[]|[]
to|nan||||LC|[]|[]
the|nan||||LC|[]|[]
fact|nan||||LC|[]|[]
that|nan||||LC|[]|[]
economies|nan||||LC|[]|[]
such|nan||||LC|[]|[]
as|nan||||LC|[]|[]
Panama|nan|||,|UC|[]|['435']
Honduras|nan||||UC|[]|['436']
and|nan||||LC|[]|[]
Puerto|nan||||UC|[]|['437']
Rico|nan||||UC|[]|['437']
took|nan||||LC|[]|[]
early|nan||||LC|[]|[]
actions|nan||||LC|[]|[]
on|nan||||LC|[]|[]
lock|nan||||LC|[]|[]
downs|nan||||LC|[]|[]
and|nan||||LC|[]|[]
quarantine|nan||||LC|[]|[]
measures|nan||||LC|[]|[]
and|nan||||LC|[]|[]
in|nan||||LC|[]|[]
that|nan||||LC|[]|[]
sense|nan|||,|LC|[]|[]
we|nan||||LC|[]|[]
expect|nan||||LC|[]|[]
an|nan||||LC|[]|[]
early|nan||||LC|[]|[]
recovery|nan||||LC|[]|[]
in|nan||||LC|[]|[]
those|nan||||LC|[]|[]
economies|nan|||.|LC|[]|[]
Thank|nan||||UC|[]|[]
you|nan||||LC|[]|[]
Camilo|nan|||.|UC|[]|['448']
I|nan||||CA|['444:CONTRACTION']|['444']
will|nan||||LC|['444:CONTRACTION']|['444']
also|nan||||LC|[]|[]
like|nan||||LC|[]|[]
to|nan||||LC|[]|[]
highlight|nan||||LC|[]|[]
the|nan||||LC|[]|[]
effort|nan||||LC|[]|[]
of|nan||||LC|[]|[]
the|nan||||LC|[]|[]
Panamanian|nan||||UC|[]|['449']
government|nan||||LC|[]|[]
to|nan||||LC|[]|[]
protect|nan||||LC|[]|[]
the|nan||||LC|[]|[]
local|nan||||LC|[]|[]
economy|nan||||LC|[]|[]
by|nan||||LC|[]|[]
imposing|nan||||LC|[]|[]
a|nan||||LC|[]|[]
30%|nan||||LC|['438:PERCENT']|['438']
tariff|nan||||LC|[]|[]
to|nan||||LC|[]|[]
the|nan||||LC|[]|[]
inputs|nan||||LC|[]|[]
of|nan||||LC|[]|[]
cement|nan||||LC|[]|[]
to|nan||||LC|[]|[]
the|nan||||LC|[]|[]
country|nan|||,|LC|[]|[]
which|nan||||LC|[]|[]
will|nan||||LC|[]|[]
have|nan||||LC|[]|[]
a|nan||||LC|[]|[]
positive|nan||||LC|[]|[]
impact|nan||||LC|[]|[]
on|nan||||LC|[]|[]
the|nan||||LC|[]|[]
competitive|nan||||LC|[]|[]
scenario|nan||||LC|[]|[]
of|nan||||LC|[]|[]
the|nan||||LC|[]|[]
country|nan|||.|LC|[]|[]
We|nan||||UC|[]|[]
expect|nan||||LC|[]|[]
similar|nan||||LC|[]|[]
other|nan||||LC|[]|[]
strategies|nan||||LC|[]|[]
to|nan||||LC|[]|[]
be|nan||||LC|[]|[]
implemented|nan||||LC|[]|[]
from|nan||||LC|[]|[]
all|nan||||LC|[]|[]
the|nan||||LC|[]|[]
governments|nan||||LC|[]|[]
in|nan||||LC|[]|[]
the|nan||||LC|[]|[]
Caribbean|nan||||UC|[]|['451']
and|nan||||LC|[]|[]
in|nan||||LC|[]|[]
American|nan||||UC|[]|['452']
regions|nan|||.|LC|[]|[]
I|nan||||CA|[]|[]
would|nan||||LC|[]|[]
like|nan||||LC|[]|[]
to|nan||||LC|[]|[]
refer|nan||||LC|[]|[]
now|nan||||LC|[]|[]
to|nan||||LC|[]|[]
our|nan||||LC|[]|[]
balance|nan||||LC|[]|[]
statement.|nan||||LC|[]|[]
We|nan||||UC|[]|[]
closed|nan||||LC|[]|[]
the|nan||||LC|[]|['453']
first|nan||||LC|[]|['453']
quarter|nan||||LC|[]|['453']
with|nan||||LC|[]|[]
our|nan||||LC|[]|[]
net|nan||||LC|[]|[]
debt|nan||||LC|[]|[]
with|nan||||LC|[]|[]
a|nan||||LC|[]|[]
ratio|nan||||LC|[]|[]
of|nan||||LC|[]|[]
four|nan||||LC|[]|['454']
times|nan|||,|LC|[]|[]
which|nan||||LC|[]|[]
is|nan||||LC|[]|[]
lower|nan||||LC|[]|[]
to|nan||||LC|[]|[]
the|nan||||LC|[]|[]
ratio|nan||||LC|[]|[]
of|nan||||LC|[]|[]
the|nan||||LC|[]|['455']
last|nan||||LC|[]|['455']
quarter|nan||||LC|[]|['455']
of|nan||||LC|[]|['455']
2019|nan|||.|CA|['439:YEAR']|['439', '443', '455']
These|nan||||UC|[]|[]
results|nan||||LC|[]|[]
was|nan||||LC|[]|[]
driven|nan||||LC|[]|[]
by|nan||||LC|[]|[]
the|nan||||LC|[]|[]
fact|nan||||LC|[]|[]
that|nan||||LC|[]|[]
our|nan||||LC|[]|[]
dollar|nan||||LC|[]|[]
denominated|nan||||LC|[]|[]
EBITDA|nan||||CA|['440:ABBREVIATION']|['440']
was|nan||||LC|[]|[]
proportionately|nan||||LC|[]|[]
higher|nan||||LC|[]|[]
than|nan||||LC|[]|[]
our|nan||||LC|[]|[]
dollar|nan||||LC|[]|[]
denominated|nan||||LC|[]|[]
debt|nan|||.|LC|[]|[]
Improving|nan||||UC|[]|[]
our|nan||||LC|[]|[]
laborers|nan||||LC|[]|[]
ratio|nan||||LC|[]|[]
in|nan||||LC|[]|[]
a|nan||||LC|[]|[]
scenario|nan||||LC|[]|[]
of|nan||||LC|[]|[]
similar|nan||||LC|[]|[]
indebtedness|nan||||LC|[]|[]
and|nan||||LC|[]|[]
EBITDA|nan|||.|CA|['441:ABBREVIATION']|['441']
Regarding|nan||||UC|[]|[]
the|nan||||LC|[]|[]
commitment|nan||||LC|[]|[]
that|nan||||LC|[]|[]
we|nan||||LC|[]|[]
have|nan||||LC|[]|[]
previously|nan||||LC|[]|[]
made|nan||||LC|[]|[]
from|nan||||LC|[]|[]
leveraging|nan||||LC|[]|[]
the|nan||||LC|[]|[]
company|nan||||LC|[]|[]
and|nan||||LC|[]|[]
reducing|nan||||LC|[]|[]
our|nan||||LC|[]|[]
net|nan||||LC|[]|[]
debt|nan||||LC|[]|[]
toward|nan||||LC|[]|[]
the|nan||||LC|[]|[]
ratio|nan|||,|LC|[]|[]
I|nan||||CA|[]|[]
want|nan||||LC|['445:CONTRACTION']|['445']
to|nan||||LC|['445:CONTRACTION']|['445']
reassure|nan||||LC|[]|[]
you|nan||||LC|[]|[]
that|nan||||LC|[]|[]
even|nan||||LC|[]|[]
though|nan||||LC|[]|[]
the|nan||||LC|[]|[]
current|nan||||LC|[]|[]
market|nan||||LC|[]|[]
conditions|nan||||LC|[]|[]
won't|nan||||LC|[]|[]
allow|nan||||LC|[]|[]
us|nan||||LC|[]|[]
to|nan||||LC|[]|[]
do|nan||||LC|[]|[]
that|nan||||LC|[]|[]
as|nan||||LC|[]|[]
soon|nan||||LC|[]|[]
as|nan||||LC|[]|[]
we|nan||||LC|[]|[]
were|nan||||LC|[]|[]
expecting|nan|||,|LC|[]|[]
we|nan||||LC|[]|[]
continue|nan||||LC|[]|[]
to|nan||||LC|[]|[]
focus|nan||||LC|[]|[]
on|nan||||LC|[]|[]
the|nan||||LC|[]|[]
things|nan||||LC|[]|[]
that|nan||||LC|[]|[]
we|nan||||LC|[]|[]
solve|nan||||LC|[]|[]
in|nan||||LC|[]|[]
the|nan||||LC|[]|[]
mean|nan||||LC|[]|[]
term|nan|||.|LC|[]|[]
This|nan||||LC|[]|[]
temporary|nan||||LC|[]|[]
prizes|nan||||LC|[]|[]
has|nan||||LC|[]|[]
boosted|nan||||LC|[]|[]
our|nan||||LC|[]|[]
creativity|nan|||,|LC|[]|[]
our|nan||||LC|[]|[]
innovations|nan||||LC|[]|[]
and|nan||||LC|[]|[]
our|nan||||LC|[]|[]
savings|nan||||LC|[]|[]
initiatives|nan|||,|LC|[]|[]
and|nan||||LC|[]|[]
has|nan||||LC|[]|[]
reinforced|nan||||LC|[]|[]
the|nan||||LC|[]|[]
commitment|nan||||LC|[]|[]
and|nan||||LC|[]|[]
for|nan||||LC|[]|[]
people|nan||||LC|[]|[]
to|nan||||LC|[]|[]
add|nan||||LC|[]|[]
Argos|nan||||UC|[]|['458']
to|nan||||LC|[]|[]
the|nan||||LC|[]|[]
new|nan||||LC|[]|[]
market|nan||||LC|[]|[]
conditions|nan|||.|LC|[]|[]
We're|nan||||UC|['446:CONTRACTION']|['446']
current|nan||||LC|[]|[]
to|nan||||LC|[]|[]
reviewing|nan||||LC|[]|[]
the|nan||||LC|[]|[]
guidance|nan||||LC|[]|[]
provided|nan||||LC|[]|[]
on|nan||||LC|[]|[]
our|nan||||LC|[]|[]
last|nan||||LC|[]|[]
earnings|nan||||LC|[]|[]
call|nan|||,|LC|[]|[]
taking|nan||||LC|[]|[]
into|nan||||LC|[]|[]
account|nan||||LC|[]|[]
the|nan||||LC|[]|[]
impression|nan||||LC|[]|[]
and|nan||||LC|[]|[]
the|nan||||LC|[]|[]
market|nan||||LC|[]|[]
conditions|nan||||LC|[]|[]
that|nan||||LC|[]|[]
we|nan||||LC|['447:CONTRACTION']|['447']
are|nan||||LC|['447:CONTRACTION']|['447']
currently|nan||||LC|[]|[]
going|nan||||LC|[]|[]
through|nan|||.|LC|[]|[]
We|nan||||UC|[]|[]
expect|nan||||LC|[]|[]
to|nan||||LC|[]|[]
have|nan||||LC|[]|[]
our|nan||||LC|[]|[]
review|nan||||LC|[]|[]
on|nan||||LC|[]|[]
our|nan||||LC|[]|[]
next|nan||||LC|[]|[]
earnings|nan||||LC|[]|[]
call|nan|||.|LC|[]|[]
Finally|nan|||,|UC|[]|[]
I|nan||||CA|[]|[]
would|nan||||LC|[]|[]
like|nan||||LC|[]|[]
to|nan||||LC|[]|[]
close|nan||||LC|[]|[]
the|nan||||LC|[]|[]
call|nan||||LC|[]|[]
by|nan||||LC|[]|[]
asking|nan||||LC|[]|[]
you|nan||||LC|[]|[]
all|nan||||LC|[]|[]
to|nan||||LC|[]|[]
stay|nan||||LC|[]|[]
safe|nan|||,|LC|[]|[]
to|nan||||LC|[]|[]
take|nan||||LC|[]|[]
care|nan||||LC|[]|[]
of|nan||||LC|[]|[]
yourself|nan||||LC|[]|[]
and|nan||||LC|[]|[]
your|nan||||LC|[]|[]
loved|nan||||LC|[]|[]
ones|nan|||,|LC|[]|[]
and|nan||||LC|[]|[]
to|nan||||LC|[]|[]
comply|nan||||LC|[]|[]
with|nan||||LC|[]|[]
all|nan||||LC|[]|[]
the|nan||||LC|[]|[]
recommendations|nan||||LC|[]|[]
from|nan||||LC|[]|[]
your|nan||||LC|[]|[]
local|nan||||LC|[]|[]
authorities|nan||||LC|[]|[]
on|nan||||LC|[]|[]
matters|nan||||LC|[]|[]
of|nan||||LC|[]|[]
social|nan||||LC|[]|[]
distancing|nan|||.|LC|[]|[]
Thank|nan||||UC|[]|[]
you|nan||||LC|[]|[]
all|nan||||LC|[]|[]
for|nan||||LC|[]|[]
your|nan||||LC|[]|[]
attention|nan|||.|LC|[]|[]
Operator|nan|||,|UC|[]|[]
we|nan||||LC|[]|[]
can|nan||||LC|[]|[]
proceed|nan||||LC|[]|[]
now|nan||||LC|[]|[]
with|nan||||LC|[]|[]
the|nan||||LC|[]|[]
QA|nan||||CA|[]|['459']
section|nan|||.|LC|[]|[]
Thank|nan||||UC|[]|[]
you|nan|||.|LC|[]|[]
Ladies|nan||||UC|[]|[]
and|nan||||LC|[]|[]
gentlemen|nan|||,|LC|[]|[]
as|nan||||LC|[]|[]
a|nan||||LC|[]|[]
reminder|nan||||LC|[]|[]
to|nan||||LC|[]|[]
ask|nan||||LC|[]|[]
a|nan||||LC|[]|[]
question|nan||||LC|[]|[]
over|nan||||LC|[]|[]
the|nan||||LC|[]|[]
telephone|nan|||,|LC|[]|[]
just|nan||||LC|[]|[]
press|nan||||LC|[]|[]
star|nan|||,|LC|[]|[]
then|nan||||LC|[]|[]
one|nan|||.|LC|[]|[]
Again|nan|||,|UC|[]|[]
if|nan||||LC|[]|[]
you|nan||||LC|[]|[]
have|nan||||LC|[]|[]
a|nan||||LC|[]|[]
question|nan|||,|LC|[]|[]
press|nan||||LC|[]|[]
star|nan||||LC|[]|[]
then|nan||||LC|[]|[]
one|nan|||.|LC|[]|[]
To|nan||||UC|[]|[]
remove|nan||||LC|[]|[]
yourself|nan||||LC|[]|[]
from|nan||||LC|[]|[]
the|nan||||LC|[]|[]
queue|nan|||,|LC|[]|[]
just|nan||||LC|[]|[]
press|nan||||LC|[]|[]
the|nan||||LC|[]|[]
pound|nan||||LC|[]|[]
or|nan||||LC|[]|[]
hash|nan||||LC|[]|[]
key|nan|||.|LC|[]|[]
Our|nan||||UC|[]|[]
first|nan||||LC|[]|['460']
question|nan||||LC|[]|[]
comes|nan||||LC|[]|[]
from|nan||||LC|[]|[]
Juliana|nan||||UC|[]|['461']
Aguilar|nan||||UC|[]|['461']
with|nan||||LC|[]|[]
Bancolombia|nan|||.|UC|[]|['462']
Please|nan||||UC|[]|[]
go|nan||||LC|[]|[]
ahead|nan|||.|LC|[]|[]
Hi|nan|||.|UC|[]|[]
Good|nan||||UC|[]|[]
morning|nan||||LC|[]|['470']
everyone|nan|||,|LC|[]|[]
and|nan||||LC|[]|[]
thanks|nan||||LC|[]|[]
for|nan||||LC|[]|[]
the|nan||||LC|[]|[]
call|nan|||.|LC|[]|[]
I|nan||||CA|[]|[]
have|nan||||LC|[]|[]
two|nan||||LC|[]|['471']
questions|nan|||.|LC|[]|[]
My|nan||||UC|[]|[]
first|nan||||LC|[]|['472']
one|nan||||LC|[]|[]
is|nan||||LC|[]|[]
regarding|nan||||LC|[]|[]
the|nan||||LC|[]|[]
resumption|nan||||LC|[]|[]
of|nan||||LC|[]|[]
activities|nan||||LC|[]|[]
in|nan||||LC|[]|[]
Columbia|nan|||,|UC|[]|['473']
how|nan||||LC|[]|[]
you're|nan||||LC|['467:CONTRACTION']|['467']
seeing|nan||||LC|[]|[]
this|nan||||LC|[]|[]
resumption|nan||||LC|[]|[]
in|nan||||LC|[]|[]
scenario|nan||||LC|[]|[]
of|nan||||LC|[]|[]
lower|nan||||LC|[]|[]
demand|nan|||.|LC|[]|[]
Are|nan||||UC|[]|[]
you|nan||||LC|[]|[]
going|nan||||LC|['468:CONTRACTION']|['468']
to|nan||||LC|['468:CONTRACTION']|['468']
concentrate|nan||||LC|[]|[]
operations|nan|||,|LC|[]|[]
operations|nan||||LC|[]|[]
in|nan||||LC|[]|[]
just|nan||||LC|[]|[]
a|nan||||LC|[]|[]
few|nan||||LC|[]|[]
plants|nan|||?|LC|[]|[]
Uh|nan|||,|UC|[]|[]
maybe|nan||||LC|[]|[]
planning|nan||||LC|[]|[]
on|nan||||LC|[]|[]
building|nan||||LC|[]|[]
new|nan||||LC|[]|[]
inventory|nan||||LC|[]|[]
and|nan||||LC|[]|[]
then|nan||||LC|[]|[]
shutting|nan||||LC|[]|[]
down|nan||||LC|[]|[]
the|nan||||LC|[]|[]
kiln|nan|||?|LC|[]|[]
Any|nan||||UC|[]|[]
additional|nan||||LC|[]|[]
color|nan||||LC|[]|[]
you|nan||||LC|[]|[]
could|nan||||LC|[]|[]
give|nan||||LC|[]|[]
us|nan||||LC|[]|[]
will|nan||||LC|[]|[]
be|nan||||LC|[]|[]
very|nan||||LC|[]|[]
helpful|nan|||.|LC|[]|[]
And|nan||||UC|[]|[]
my|nan||||LC|[]|[]
second|nan||||LC|[]|['474']
question|nan||||LC|[]|[]
is|nan||||LC|[]|[]
regarding|nan||||LC|[]|[]
your|nan||||LC|[]|[]
divestment|nan||||LC|[]|[]
plans|nan||||LC|[]|[]
that|nan||||LC|[]|[]
you|nan||||LC|[]|[]
have|nan||||LC|[]|[]
decided|nan||||LC|[]|[]
to|nan||||LC|[]|[]
perform|nan||||LC|[]|[]
given|nan||||LC|[]|[]
market|nan||||LC|[]|[]
conditions|nan|||.|LC|[]|[]
I|nan||||CA|[]|[]
feel|nan|||,|LC|[]|[]
uh|nan|||,|LC|[]|[]
seeing|nan||||LC|[]|[]
this|nan|||…|LC|[]|[]
I|nan||||CA|[]|[]
just|nan||||LC|[]|[]
feel|nan||||LC|[]|[]
this|nan||||LC|[]|[]
section|nan||||LC|[]|[]
needs|nan||||LC|[]|[]
to|nan||||LC|[]|[]
be|nan||||LC|[]|[]
carried|nan||||LC|[]|[]
out|nan|||,|LC|[]|[]
uh|nan|||,|LC|[]|[]
this|nan||||LC|[]|['475']
year|nan|||,|LC|[]|['475']
or|nan||||LC|[]|[]
you|nan||||LC|[]|[]
see|nan||||LC|[]|[]
them|nan|||,|LC|['469:CONTRACTION']|['469']
you|nan||||LC|[]|[]
see|nan||||LC|[]|[]
it|nan|||,|LC|[]|[]
uh|nan|||,|LC|[]|[]
being|nan||||LC|[]|[]
executed|nan|||,|LC|[]|[]
uh|nan|||,|LC|[]|[]
more|nan||||LC|[]|[]
2020|nan|||,|CA|['463:YEAR']|['463', '465', '476']
2021|nan|||.|CA|['464:YEAR']|['464', '466', '477']
Thank|nan||||UC|[]|[]
you|nan||||LC|[]|[]
very|nan||||LC|[]|[]
much|nan|||.|LC|[]|[]
Uh|nan|||,|UC|[]|[]
good|nan||||LC|[]|['487']
morning|nan|||,|LC|[]|['487']
Juliana|nan|||,|UC|[]|['488']
and|nan||||LC|[]|[]
thank|nan||||LC|[]|[]
you|nan||||LC|[]|[]
for|nan|||,|LC|[]|[]
for|nan||||LC|[]|[]
your|nan||||LC|[]|[]
questions|nan||||LC|[]|[]
there|nan|||.|LC|[]|[]
In|nan||||UC|[]|[]
Columbia|nan|||,|UC|[]|['489']
we|nan||||LC|[]|[]
have|nan||||LC|[]|[]
gradually|nan||||LC|[]|[]
start|nan|||,|LC|[]|[]
you|nan||||LC|[]|[]
know|nan|||,|LC|[]|[]
the|nan||||LC|[]|[]
operations|nan||||LC|[]|[]
and|nan||||LC|[]|[]
the|nan||||LC|[]|[]
reality|nan||||LC|[]|[]
is|nan||||LC|[]|[]
that|nan||||LC|[]|[]
not|nan||||LC|[]|[]
only|nan||||LC|[]|[]
in|nan||||LC|[]|[]
Colombia|nan||||UC|[]|['490']
but|nan||||LC|[]|[]
in|nan||||LC|[]|[]
all|nan||||LC|[]|[]
the|nan||||LC|[]|[]
markets|nan||||LC|[]|[]
that|nan||||LC|[]|[]
are|nan|||,|LC|[]|[]
you|nan||||LC|[]|[]
know|nan|||,|LC|[]|[]
starting|nan|||.|LC|[]|[]
We|nan||||UC|[]|[]
have|nan||||LC|[]|[]
seen|nan||||LC|[]|[]
better|nan||||LC|[]|[]
than|nan||||LC|[]|[]
one|nan||||LC|[]|[]
scenario|nan||||LC|[]|[]
that|nan||||LC|[]|[]
we|nan||||LC|[]|[]
were|nan||||LC|[]|[]
expecting|nan|||.|LC|[]|[]
We|nan||||UC|[]|[]
have|nan||||LC|[]|[]
inventories|nan||||LC|[]|[]
of|nan|||,|LC|[]|[]
of|nan||||LC|[]|[]
17|nan||||CA|['480:CARDINAL']|['480']
multiple|nan||||LC|[]|[]
plants|nan|||,|LC|[]|[]
um|nan|||,|LC|[]|[]
so|nan||||LC|[]|[]
we're|nan||||LC|['482:CONTRACTION']|['482']
starting|nan||||LC|[]|[]
the|nan||||LC|[]|[]
supply|nan||||LC|[]|[]
even|nan||||LC|[]|[]
more|nan||||LC|[]|[]
inventory|nan|||.|LC|[]|[]
We|nan||||UC|['483:CONTRACTION']|['483']
will|nan||||LC|['483:CONTRACTION']|['483']
then|nan||||LC|[]|[]
proceed|nan||||LC|[]|[]
with|nan|||,|LC|[]|[]
uh|nan|||,|LC|[]|[]
restarting|nan||||LC|[]|[]
our|nan||||LC|[]|[]
uh|nan|||,|LC|[]|[]
grinding|nan||||LC|[]|[]
mills|nan|||.|LC|[]|[]
Um|nan|||,|UC|[]|[]
initially|nan|||,|LC|[]|[]
in|nan||||LC|[]|[]
all|nan||||LC|[]|[]
of|nan||||LC|[]|[]
our|nan||||LC|[]|[]
plants|nan||||LC|[]|[]
will|nan||||LC|[]|[]
be|nan||||LC|[]|[]
having|nan||||LC|[]|[]
these|nan||||LC|[]|[]
inventories|nan||||LC|[]|[]
and|nan||||LC|[]|[]
going|nan||||LC|[]|[]
forward|nan|||,|LC|[]|[]
we|nan||||LC|[]|[]
have|nan||||LC|[]|[]
foreseen|nan||||LC|[]|[]
that|nan||||LC|[]|[]
for|nan||||LC|[]|[]
the|nan||||LC|[]|['492']
first|nan||||LC|[]|['492']
two|nan||||LC|[]|['492']
or|nan||||LC|[]|['492']
three|nan||||LC|[]|['492']
months|nan||||LC|[]|['492']
maybe|nan||||LC|[]|[]
we|nan||||LC|['484:CONTRACTION']|['484']
will|nan||||LC|['484:CONTRACTION']|['484']
only|nan||||LC|[]|[]
<unk>|nan||||LC|[]|[]
in|nan||||LC|[]|[]
<unk>|nan||||LC|[]|[]
and|nan||||LC|[]|[]
Cartagena|nan|||.|UC|[]|['495']
But|nan||||UC|[]|[]
the|nan||||LC|[]|[]
reality|nan||||LC|[]|[]
is|nan||||LC|[]|[]
that|nan|||,|LC|[]|[]
the|nan||||LC|[]|[]
project|nan||||LC|[]|[]
in|nan||||LC|[]|[]
demand|nan||||LC|[]|[]
we|nan||||LC|[]|[]
estimated|nan||||LC|[]|[]
is|nan|||,|LC|[]|[]
um|nan|||,|LC|[]|[]
way|nan||||LC|[]|[]
better|nan||||LC|[]|[]
than|nan||||LC|[]|[]
we|nan||||LC|[]|[]
expected|nan||||LC|[]|[]
when|nan||||LC|[]|[]
we|nan||||LC|[]|[]
restarted|nan||||LC|[]|[]
operations|nan||||LC|[]|[]
so|nan||||LC|[]|[]
we|nan||||LC|['485:CONTRACTION']|['485']
are|nan||||LC|['485:CONTRACTION']|['485']
ready|nan||||LC|[]|[]
to|nan||||LC|[]|[]
move|nan||||LC|[]|[]
on|nan||||LC|[]|[]
and|nan||||LC|[]|[]
start|nan||||LC|[]|[]
the|nan||||LC|[]|[]
other|nan||||LC|[]|[]
plants|nan||||LC|[]|[]
as|nan||||LC|[]|[]
soon|nan||||LC|[]|[]
as|nan||||LC|[]|[]
we|nan||||LC|[]|[]
can|nan|||.|LC|[]|[]
In|nan||||LC|[]|[]
the|nan||||LC|[]|[]
second|nan||||LC|[]|['496']
question|nan||||LC|[]|[]
about|nan||||LC|[]|[]
the|nan||||LC|[]|[]
divestment|nan||||LC|[]|[]
plans|nan|||,|LC|[]|[]
I|nan||||CA|[]|[]
mean|nan||||LC|[]|[]
the|nan||||LC|[]|[]
reality|nan||||LC|[]|[]
that|nan||||LC|[]|[]
we|nan||||LC|[]|[]
have|nan||||LC|[]|[]
a|nan||||LC|[]|[]
levels|nan||||LC|[]|[]
interest|nan||||LC|[]|[]
for|nan||||LC|[]|[]
the|nan||||LC|[]|[]
divestment|nan||||LC|[]|[]
or|nan||||LC|[]|[]
administering|nan||||LC|[]|[]
